ID	Origin	Title
Problem A	POJ 1887	 简单dp 例题
Problem B	POJ 1163	 简单dp 例题
Problem C	POJ 1458	 简单dp 例题
Problem D	HDU 1003	 简单dp 例题
Problem E	POJ 1088	 简单dp 例题
Problem F	POJ 1157	 简单dp
Problem G	POJ 2479	 简单dp 例题扩展
Problem H	POJ 1159	 简单dp 例题扩展
Problem I	HDU 1421	 简单dp
Problem J	HDU 1087	 简单dp 例题扩展
Problem K	POJ 2385	 简单dp
Problem L	POJ 1083	 简单dp
